date,nav,cash,n_pos,ret
2025-08-05,5048226.678217024,2990448.816778521,6,0.01848377912692989
2025-08-06,5061952.164964074,2990448.816778521,6,0.0027188729076441653
2025-08-07,5070999.235209218,273581.06341120973,14,0.0017872690120943613
2025-08-08,5086705.625510127,273581.06341120973,14,0.003097296917707215
2025-08-11,5116337.595265854,273581.06341120973,14,0.005825375387779719
2025-08-12,5109772.83439265,2319304.8603404174,8,-0.0012830976750397571
2025-08-13,5178206.194313617,2319304.8603404174,8,0.013392642322640924
2025-08-14,5149404.713102222,250914.28100509493,14,-0.005562057618142546
2025-08-15,5331224.706593209,250914.28100509493,14,0.03530893445379446
2025-08-18,5414651.81597466,250914.28100509493,14,0.01564877002432019
2025-08-19,5349439.377248591,3182205.667140161,6,-0.012043699381311113
2025-08-20,5349045.525068359,3182205.667140161,6,-7.362494505613881e-05
2025-08-21,5333965.05337668,312364.2715553756,14,-0.00281928273390164
2025-08-22,5382864.027292005,312364.2715553756,14,0.00916747174493926
2025-08-25,5519496.180965204,312364.2715553756,14,0.025382798632930692
2025-08-26,5500832.821029728,2149225.0279334807,9,-0.003381352087866052
2025-08-27,5410167.861539159,2149225.0279334807,9,-0.01648204234528927
2025-08-28,5370309.472926368,352186.26877400803,14,-0.007367310891801315
2025-08-29,5508925.143997235,352186.26877400803,14,0.02581148661351418
2025-09-01,5685469.297516205,352186.26877400803,14,0.03204693273266579
2025-09-02,5652399.651706724,3638700.293732023,5,-0.00581651998788002
2025-09-03,5686007.416865731,3638700.293732023,5,0.005945751756753159
2025-09-04,5648496.145651899,233878.60039202392,14,-0.006597119641906568
2025-09-05,5859799.834974793,233878.60039202392,14,0.03740884013624601
2025-09-08,5965091.930392024,233878.60039202392,14,0.017968548138587392
2025-09-09,6043605.664222024,2377912.534222024,9,0.013162200138102653
2025-09-10,6036228.684222024,2377912.534222024,9,-0.0012206256347385702
2025-09-11,6012088.009735679,366331.0109541782,14,-0.003999297533151092
2025-09-12,6240065.912096061,366331.0109541782,14,0.037919920997697476
2025-09-15,6307583.533159314,366331.0109541782,14,0.010820017290582351
2025-09-16,6248210.337956095,4075450.4800241785,5,-0.00941298595430251
2025-09-17,6341557.5533893,4075450.4800241785,5,0.014939832429479383
2025-09-18,6259790.145824704,581644.4822341787,10,-0.012893899783483653
2025-09-19,6361656.004956346,581644.4822341787,10,0.01627304698059029
2025-09-22,6360525.050859247,581644.4822341787,10,-0.00017777668208052155
2025-09-23,6287784.834337859,2727454.0943378597,5,-0.011436196845347135
2025-09-24,6313032.384337859,2727454.0943378597,5,0.004015333009189881
2025-09-25,6397671.534230631,256817.65182089934,10,0.013407051435813111
2025-09-26,6324004.390661239,256817.65182089934,10,-0.01151468048574189
2025-09-29,6549509.864959547,256817.65182089934,10,0.03565865239298627
2025-09-30,6697938.023388622,4077180.935240899,5,0.02266248337500465
2025-10-02,6720829.402659706,4077180.935240899,5,0.0034176755877926013
2025-10-03,6691816.230047956,716278.467779209,9,-0.004316903595301458
2025-10-06,6645667.4589692345,716278.467779209,9,-0.006896299822386376
2025-10-08,6636201.47589243,716278.467779209,9,-0.0014243841021609471
2025-10-09,6655381.78278289,3287770.238261123,4,0.002890253853825353
2025-10-10,6611213.73698765,3287770.238261123,4,-0.006636440588502324
2025-10-13,6572012.636236017,459135.5515886046,7,-0.005929486220104474
2025-10-14,6575264.96639506,459135.5515886046,7,0.00049487582253116
2025-10-15,6661061.768560572,459135.5515886046,7,0.013048417456027028
2025-10-16,6688800.889173224,3732332.9823446358,3,0.004164369221672404
2025-10-17,6702465.695359622,3732332.9823446358,3,0.0020429381009856584
2025-10-20,6717088.593169711,1484339.1555903526,4,0.002181719157505313
2025-10-21,6734008.560498559,1484339.1555903526,4,0.0025189436009602773
2025-10-22,6762885.498960531,1484339.1555903526,4,0.004288224198490509
2025-10-23,6903813.209710199,4435579.1406815555,1,0.020838399640409344
2025-10-24,6754868.050372263,4435579.1406815555,1,-0.02157433215725546
2025-10-27,6686913.699038734,497449.67468791344,12,-0.010060056070197332
2025-10-28,6661520.801548473,497449.67468791344,12,-0.0037974017062477605
2025-10-30,6702717.1121509345,497449.67468791344,12,0.006184220064716417
2025-10-31,6597231.664837618,497449.67468791344,12,-0.015737714354987165
2025-11-03,6693458.518860833,497449.67468791344,12,0.014585944364526648
2025-11-04,6636245.419391428,509215.8912481421,12,-0.008547613958940548
2025-11-05,6682333.131040227,509215.8912481421,12,0.006944847385259134
2025-11-06,6787409.194682125,509215.8912481421,12,0.015724457548188964
2025-11-07,6762420.590205295,5697861.372618882,2,-0.0036816116076231475
