fm_thr,rsi_w_coef,trend_filter,ta_rsi_sell,return,sharpe,max_dd,buy_cnt,sell_cnt,composite
10.0,0.3,0.6,75,45.22423972528411,0.27306106282044273,-33.78981469378718,662,4,1.6645821728053387
10.0,0.3,0.6,72,45.22423972528411,0.27306106282044273,-33.78981469378718,662,4,1.6645821728053387
7.0,0.2,0.8,72,42.45487394184917,0.2633615516327936,-35.852957681420804,667,3,1.57143196586433
7.0,0.2,0.8,75,42.45487394184917,0.2633615516327936,-35.852957681420804,667,3,1.57143196586433
7.0,0.2,0.8,78,42.45487394184917,0.2633615516327936,-35.852957681420804,667,3,1.57143196586433
7.0,0.2,0.8,82,42.45487394184917,0.2633615516327936,-35.852957681420804,667,3,1.57143196586433
7.0,0.3,0.4,75,31.718368535933084,0.22363384981232431,-35.43139076534927,663,16,1.2347104237068744
7.0,0.3,0.4,78,31.718368535933084,0.22363384981232431,-35.43139076534927,663,14,1.2347104237068744
7.0,0.3,0.4,72,30.975109090974406,0.22125050969051208,-35.43147496267514,663,17,1.2114590517174115
5.0,0.25,0.4,82,25.52880458915363,0.20238312514592613,-35.43114779699897,664,29,1.0405239443419825
3.0,0.15,0.4,82,25.52880458915363,0.20238312514592613,-35.43114779699897,664,29,1.0405239443419825
7.0,0.3,0.4,82,13.057892640455936,0.14508992851790647,-37.391576246135145,663,11,0.6375980218824353
3.0,0.15,0.4,72,11.081516948646186,0.13408817412951007,-35.59050542813818,664,76,0.5793092618267751
5.0,0.25,0.4,72,11.081516948646186,0.13408817412951007,-35.59050542813818,664,76,0.5793092618267751
5.0,0.25,0.4,78,1.3556134285832133,0.08341167500936147,-38.34700075077801,664,41,0.25899207060890694
3.0,0.15,0.4,78,1.3556134285832133,0.08341167500936147,-38.34700075077801,664,41,0.25899207060890694
10.0,0.25,1.0,72,-15.543481653350533,-0.021228711307447967,-44.82229606956897,687,0,-0.30926282233220215
10.0,0.25,1.0,75,-15.543481653350533,-0.021228711307447967,-44.82229606956897,687,0,-0.30926282233220215
10.0,0.25,1.0,82,-15.543481653350533,-0.021228711307447967,-44.82229606956897,687,0,-0.30926282233220215
10.0,0.25,1.0,78,-15.543481653350533,-0.021228711307447967,-44.82229606956897,687,0,-0.30926282233220215
10.0,0.3,0.8,82,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
5.0,0.2,0.6,82,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,10,-0.3664991543150683
5.0,0.2,0.6,72,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,10,-0.3664991543150683
10.0,0.3,0.8,78,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
10.0,0.3,0.8,75,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
10.0,0.3,0.8,72,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
5.0,0.15,0.8,72,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
5.0,0.15,0.8,82,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
5.0,0.15,0.8,75,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
5.0,0.15,0.8,78,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,4,-0.3664991543150683
5.0,0.2,0.6,78,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,10,-0.3664991543150683
5.0,0.2,0.6,75,-17.290965002995982,-0.033257821663947494,-44.82235851986995,687,10,-0.3664991543150683
3.0,0.15,0.4,75,-20.343289783087613,-0.05926311195521448,-39.855985271035,664,55,-0.4535718940878193
5.0,0.25,0.4,75,-20.343289783087613,-0.05926311195521448,-39.855985271035,664,55,-0.4535718940878193
5.0,0.3,0.4,72,-53.55852580512103,-0.4190862380425929,-66.42408786598155,699,122,-1.6736625329686128
5.0,0.3,0.4,78,-58.1319173446331,-0.49085596923050573,-68.66347638337166,699,66,-1.8462903371813104
5.0,0.3,0.4,82,-58.77230220751626,-0.49970006937207867,-68.73741620102793,699,43,-1.869261342577403
5.0,0.3,0.4,75,-63.14935977815337,-0.5983720153423518,-71.68389404973607,699,93,-2.04888128163075
7.0,0.3,0.6,72,-64.37905773548412,-0.5942706387951452,-73.42120322778912,713,17,-2.089343597265949
