symbol,market,trade_date,close,weekly_rsi,monthly_rsi,resonance,rsi_14,frac_balance_10,frac_balance_20,atr_ratio,fusion_score
300433.SZ,CSI300,2026-04-16,25.64,45.56764066606611,37.09109922666473,0.0,31.36443165796392,0.0,0.0,0.0560547206700556,-0.08807958649891165
300442.SZ,CSI300,2026-04-16,95.78,62.404723387229474,63.187305553256735,0.0,63.91846364648932,0.0,0.0,0.0503601910503739,0.26529757802438086
300476.SZ,CSI300,2026-04-16,303.5,72.29589093093112,47.70120986136744,-0.5,61.663957389996185,0.0,0.0,0.0467426393326126,0.4390713756254802
300498.SZ,CSI300,2026-04-16,17.17,66.31954498298809,53.00210840305477,0.0,57.42749151734792,0.0,0.0,0.0289572299837949,0.248836223549874
300502.SZ,CSI300,2026-04-16,537.5,84.95294610550789,77.63742918420212,-0.75,65.49838903425683,0.0,0.0,0.0546246929739195,0.7477963003479068
300628.SZ,CSI300,2026-04-16,35.67,65.87143395561769,34.35768379021938,0.0,59.70602905971646,0.0,0.0,0.0248554636506322,0.18624567592466307
300661.SZ,CSI300,2026-04-16,77.71,66.43025565166147,51.02888570125567,0.0,58.7267205288865,0.0,0.0,0.0487282791702117,0.24692218553941855
300750.SZ,CSI300,2026-04-16,453.98,83.69170905199321,84.19148387308778,-1.75,73.86162900037256,0.0,0.0,0.0358874088304923,1.058065909206807
300759.SZ,CSI300,2026-04-16,31.39,70.6463808047878,57.17924868089124,-0.5,65.72116627032621,0.0,0.0,0.0378360572716835,0.4680342136809934
300760.SZ,CSI300,2026-04-16,160.46,25.982446191798203,9.445253608389677,0.75,39.31075290125898,0.0,0.0,0.0235119213602617,-0.5590648449429801
300782.SZ,CSI300,2026-04-16,103.47,93.37470352955032,69.6928826617742,-0.5,66.90263904675466,0.0,0.0,0.0536056243871026,0.7382333601903514
300803.SZ,CSI300,2026-04-16,99.82,32.967442892532716,19.203225906402295,0.25,44.162908831420324,0.0,0.0,0.041508237851091,-0.3045982851325748
300832.SZ,CSI300,2026-04-16,46.34,15.369616491182526,18.990398001288327,0.75,38.58412188478997,0.0,0.0,0.0319918910901211,-0.6321112969112528
300866.SZ,CSI300,2026-04-16,120.68,66.09053054386445,38.63753047118842,0.0,65.79995170946947,0.0,0.0,0.0455715198721997,0.22150518449256487
