symbol,name,trade_date,close,fusion_score,frac_balance_20,top_count_20,fractal_top_5,frac_balance_10,fractal_bottom_5,fractal_top_10,fractal_bottom_10,top_count_10,bottom_count_20,bottom_count_10,bull_divergence,resonance,td9_count,macd_cross_up,td9_extreme,entropy_60,hurst_60,apen_20,apen_60,bb_ratio,atr_ratio,mom_5d,mom_10d,rsi_14,macd,vol_ratio
03320.HK,华润医药,2026-04-17,6.38,0.04892237470629418,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.7392004828346835,3.683385579937305,0.0063091482649841,0.1038062283737024,84.05797095764194,0.4606314336141706,0.2164401364076797
03319.HK,雅生活服务,2026-04-17,1.93,0.041921949342913815,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,3,-1,0,0,,,,,0.6090626451315595,3.663952627683198,0.0489130434782607,0.0842696629213481,44.26229498038161,-0.0455376300123868,0.4410686102056814
03968.HK,招商银行,2026-04-17,51.0,0.03235405552642776,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.9022204689822412,1.6918767507002823,0.02,0.0349025974025973,74.87684726482078,0.4968120416509904,0.5878055842356233
00941.HK,中国移动,2026-04-17,81.55,0.026213934723721046,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.808145907034564,1.1955855303494796,0.0055487053020961,0.0303221730890712,90.9090908833792,0.6689259445804083,0.3679874033555786
00823.HK,领展房产基金,2026-04-17,38.42,0.022016244705469323,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.8414496499370951,1.825686026623036,0.0142555438225977,0.0719866071428569,70.18867922674258,0.4153579030434002,0.2777397767816294
03800.HK,协鑫科技,2026-04-17,0.96,0.014907592076353253,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.5423773664292386,4.538690476190479,-0.0204081632653061,0.1162790697674418,54.838709429760655,-0.023855869836887,0.304909632241785
06865.HK,福莱特玻璃,2026-04-17,9.38,0.013700597843325373,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.4992371858577225,5.003045994517208,-0.0477157360406089,0.0919674039580908,50.231481465202776,-0.1543756436091019,0.5271505830103944
06098.HK,碧桂园服务,2026-04-17,6.23,0.012379397061661012,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.7095189493123673,2.728731942215088,-0.0095389507154212,0.0541455160744501,62.18487387642119,0.0506985036989124,0.3387202740387862
02628.HK,中国人寿,2026-04-17,27.4,0.009245380523925853,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.6450912732216296,3.826903023983314,0.0088365243004417,0.113821138211382,50.247524743769,-0.5031883807761943,0.4413233606057504
01638.HK,佳兆业集团,2026-04-17,0.088,0.007868572385542382,0.0,1.0,0,0.0,0,0,0,0.0,1.0,0.0,0,1,2,0,0,,,,,0.6090323132388709,9.821428571428571,0.0602409638554215,-0.0112359550561798,35.29411619377167,9.810048773384315e-05,0.2372697915602588
00066.HK,港铁公司,2026-04-17,33.62,0.0027691253717290073,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-2,0,0,,,,,0.8095526912337166,2.0396022775558764,0.0120409391932569,0.0512820512820511,61.76470586418685,-0.1205404832659837,0.3376417284493454
06030.HK,中信证券,2026-04-17,26.56,0.0019443863187095375,0.25,1.0,0,-0.5,0,0,0,1.0,2.0,0.0,0,0,-1,0,0,,,,,0.7534062361186856,3.716652323580035,-0.0126394052044609,0.1169049621530697,63.82352939862459,0.1730829827259832,0.2144658274307739
02333.HK,长城汽车,2026-04-17,12.9,0.0018770889545723125,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.4729865447379255,4.191583610188261,-0.0618181818181817,0.0453808752025932,51.508620674113786,0.1193447347399416,0.6200112816817483
02057.HK,中通快递-W,2026-04-17,194.9,0.0003774595683356829,0.25,1.0,0,0.0,0,0,0,0.0,2.0,0.0,0,0,-2,0,0,,,,,0.6187982150596275,3.309389430477166,0.0067148760330579,0.0339522546419097,49.999999998349054,2.488497678061634,0.2180642900255057
00857.HK,中国石油股份,2026-04-17,10.54,-0.00042920591788321214,0.0,1.0,0,0.5,0,0,0,0.0,1.0,1.0,0,0,-1,0,0,,,,,0.1864323094679658,3.171591217132013,-0.0240740740740742,-0.0195348837209302,46.15384612623271,0.133422999362109,0.2097304231766347
00241.HK,阿里健康,2026-04-17,4.68,-0.010512421711763323,0.25,1.0,0,-0.5,0,0,0,1.0,2.0,0.0,0,3,-1,0,0,,,,,0.4069001635804213,3.968253968253968,0.0086206896551723,0.004291845493562,43.52941172885812,-0.1863577712161337,0.3358833562351585
02318.HK,中国平安,2026-04-17,60.9,-0.020330592288007758,0.5,0.0,0,0.0,0,0,0,0.0,1.0,0.0,0,0,-1,0,0,,,,,0.4910064224842899,2.932207365704901,-0.0294820717131474,0.024390243902439,51.60142348240269,-0.5902388582974396,0.6986360778266567
